Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-07 09:30:00-05:00,235.10499572753906,236.25,234.75999450683594,236.05999755859375,1633504,0.0,0.0
2025-03-07 09:35:00-05:00,236.0800018310547,237.61000061035156,236.0800018310547,237.30999755859375,957625,0.0,0.0
2025-03-07 09:40:00-05:00,237.3249969482422,238.74000549316406,237.3249969482422,238.40969848632812,1003584,0.0,0.0
2025-03-07 09:45:00-05:00,238.3800048828125,239.13999938964844,238.11000061035156,238.92999267578125,828435,0.0,0.0
2025-03-07 09:50:00-05:00,238.9600067138672,239.32000732421875,238.6750030517578,239.14999389648438,654054,0.0,0.0
2025-03-07 09:55:00-05:00,239.14999389648438,239.42999267578125,238.2899932861328,238.3350067138672,660098,0.0,0.0
2025-03-07 10:00:00-05:00,238.33999633789062,238.60000610351562,237.8800048828125,238.4499969482422,608419,0.0,0.0
2025-03-07 10:05:00-05:00,238.4149932861328,238.92999267578125,238.11000061035156,238.8249969482422,381313,0.0,0.0
2025-03-07 10:10:00-05:00,238.82000732421875,238.97000122070312,238.0800018310547,238.3699951171875,474028,0.0,0.0
2025-03-07 10:15:00-05:00,238.36000061035156,238.36000061035156,237.83999633789062,237.8800048828125,419830,0.0,0.0
2025-03-07 10:20:00-05:00,237.9149932861328,238.74000549316406,237.8000030517578,238.44500732421875,365640,0.0,0.0
2025-03-07 10:25:00-05:00,238.40499877929688,238.49000549316406,237.91000366210938,238.30999755859375,553775,0.0,0.0
2025-03-07 10:30:00-05:00,238.31500244140625,238.32850646972656,237.0301055908203,237.50729370117188,752347,0.0,0.0
2025-03-07 10:35:00-05:00,237.49740600585938,237.82000732421875,237.10000610351562,237.5800018310547,430222,0.0,0.0
2025-03-07 10:40:00-05:00,237.5500030517578,238.16000366210938,237.36000061035156,238.0500030517578,436739,0.0,0.0
2025-03-07 10:45:00-05:00,238.0500030517578,240.16000366210938,237.91000366210938,239.3249969482422,1142668,0.0,0.0
2025-03-07 10:50:00-05:00,239.3000030517578,239.47000122070312,238.660400390625,238.89999389648438,533412,0.0,0.0
2025-03-07 10:55:00-05:00,238.76499938964844,239.1999969482422,238.5,238.9149932861328,366283,0.0,0.0
2025-03-07 11:00:00-05:00,238.91000366210938,239.1300048828125,238.4114990234375,238.56500244140625,350719,0.0,0.0
2025-03-07 11:05:00-05:00,238.5500030517578,239.52999877929688,238.4600067138672,239.38999938964844,526631,0.0,0.0
2025-03-07 11:10:00-05:00,239.39999389648438,239.49000549316406,238.49000549316406,238.72000122070312,441352,0.0,0.0
2025-03-07 11:15:00-05:00,238.72999572753906,238.83999633789062,238.32000732421875,238.74000549316406,426802,0.0,0.0
2025-03-07 11:20:00-05:00,238.75,239.41000366210938,238.6999969482422,239.0800018310547,519455,0.0,0.0
2025-03-07 11:25:00-05:00,239.07000732421875,239.19000244140625,238.62120056152344,239.02000427246094,518754,0.0,0.0
2025-03-07 11:30:00-05:00,239.0399932861328,239.33900451660156,238.5500030517578,238.58999633789062,608809,0.0,0.0
