Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG,AAPL,GOOG
Datetime,,,,,,,,,,
2025-03-07 14:30:00+00:00,236.05999755859375,174.21859741210938,236.25,174.47000122070312,234.75999450683594,173.0800018310547,235.10499572753906,173.24200439453125,1633504,887793
2025-03-07 14:35:00+00:00,237.30999755859375,174.0800018310547,237.61000061035156,174.25999450683594,236.0800018310547,173.55999755859375,236.0800018310547,174.24000549316406,957625,217318
2025-03-07 14:40:00+00:00,238.40969848632812,174.92999267578125,238.74000549316406,175.47999572753906,237.3249969482422,174.05499267578125,237.3249969482422,174.0800018310547,1003584,320296
2025-03-07 14:45:00+00:00,238.92999267578125,175.14999389648438,239.13999938964844,175.39999389648438,238.11000061035156,174.57000732421875,238.3800048828125,174.9149932861328,828435,275435
2025-03-07 14:50:00+00:00,239.14999389648438,175.19500732421875,239.32000732421875,175.3699951171875,238.6750030517578,174.8227996826172,238.9600067138672,175.1699981689453,654054,166303
2025-03-07 14:55:00+00:00,238.3350067138672,174.6199951171875,239.42999267578125,175.50999450683594,238.2899932861328,174.52000427246094,239.14999389648438,175.1999969482422,660098,240086
2025-03-07 15:00:00+00:00,238.4499969482422,174.95570373535156,238.60000610351562,175.10499572753906,237.8800048828125,174.05499267578125,238.33999633789062,174.5800018310547,608419,224334
2025-03-07 15:05:00+00:00,238.8249969482422,175.4499969482422,238.92999267578125,175.58999633789062,238.11000061035156,174.73269653320312,238.4149932861328,174.94000244140625,381313,221289
2025-03-07 15:10:00+00:00,238.3699951171875,175.17999267578125,238.97000122070312,175.6699981689453,238.0800018310547,175.0800018310547,238.82000732421875,175.39999389648438,474028,202271
2025-03-07 15:15:00+00:00,237.8800048828125,174.6466064453125,238.36000061035156,175.1699981689453,237.83999633789062,174.42999267578125,238.36000061035156,175.1699981689453,419830,141863
2025-03-07 15:20:00+00:00,238.44500732421875,174.82000732421875,238.74000549316406,175.07000732421875,237.8000030517578,174.52000427246094,237.9149932861328,174.67999267578125,365640,164676
2025-03-07 15:25:00+00:00,238.30999755859375,174.02000427246094,238.49000549316406,174.8249969482422,237.91000366210938,173.9250030517578,238.40499877929688,174.82000732421875,553775,243295
2025-03-07 15:30:00+00:00,237.50729370117188,173.4499969482422,238.32850646972656,174.02999877929688,237.0301055908203,172.97999572753906,238.31500244140625,174.02000427246094,752347,346797
2025-03-07 15:35:00+00:00,237.5800018310547,173.0,237.82000732421875,173.46499633789062,237.10000610351562,172.9552001953125,237.49740600585938,173.4199981689453,430222,297878
2025-03-07 15:40:00+00:00,238.0500030517578,173.07000732421875,238.16000366210938,173.1750030517578,237.36000061035156,172.60000610351562,237.5500030517578,173.0045928955078,436739,340845
2025-03-07 15:45:00+00:00,239.3249969482422,173.60000610351562,240.16000366210938,174.13999938964844,237.91000366210938,172.75999450683594,238.0500030517578,173.02000427246094,1142668,354964
2025-03-07 15:50:00+00:00,238.89999389648438,173.7006072998047,239.47000122070312,174.07000732421875,238.660400390625,173.22999572753906,239.3000030517578,173.6999969482422,533412,191479
2025-03-07 15:55:00+00:00,238.9149932861328,173.8300018310547,239.1999969482422,173.94000244140625,238.5,173.42999267578125,238.76499938964844,173.72999572753906,366283,150533
2025-03-07 16:00:00+00:00,238.56500244140625,173.51499938964844,239.1300048828125,173.89999389648438,238.4114990234375,173.28500366210938,238.91000366210938,173.8249969482422,350719,145428
2025-03-07 16:05:00+00:00,239.38999938964844,173.7899932861328,239.52999877929688,173.97000122070312,238.4600067138672,173.40159606933594,238.5500030517578,173.49000549316406,526631,132774
2025-03-07 16:10:00+00:00,238.72000122070312,173.68499755859375,239.49000549316406,173.9199981689453,238.49000549316406,173.42999267578125,239.39999389648438,173.86000061035156,441352,94223
2025-03-07 16:15:00+00:00,238.74000549316406,173.27000427246094,238.83999633789062,173.7899932861328,238.32000732421875,173.16000366210938,238.72999572753906,173.7100067138672,426802,100689
2025-03-07 16:20:00+00:00,239.0800018310547,173.27999877929688,239.41000366210938,173.47999572753906,238.6999969482422,173.1199951171875,238.75,173.27000427246094,519455,116001
2025-03-07 16:25:00+00:00,239.02000427246094,173.02999877929688,239.19000244140625,173.3000030517578,238.62120056152344,172.80999755859375,239.07000732421875,173.22999572753906,518754,236435
2025-03-07 16:30:00+00:00,238.58999633789062,173.10000610351562,239.33900451660156,173.27000427246094,238.5500030517578,172.80999755859375,239.0399932861328,173.02999877929688,608809,147206
2025-03-07 16:35:00+00:00,238.2949981689453,173.3699951171875,238.6999969482422,173.38999938964844,238.22000122070312,172.9600067138672,238.5800018310547,173.11000061035156,581297,146213
2025-03-07 16:40:00+00:00,238.32000732421875,172.74000549316406,238.47000122070312,173.3699951171875,237.8699951171875,172.4720001220703,238.2740020751953,173.3000030517578,656082,243326
2025-03-07 16:45:00+00:00,238.89999389648438,172.756103515625,238.97000122070312,172.8350067138672,238.00169372558594,172.47999572753906,238.27000427246094,172.75,709318,167350
2025-03-07 16:50:00+00:00,238.8800048828125,172.83999633789062,239.05999755859375,172.84500122070312,238.57000732421875,172.25,238.86000061035156,172.8300018310547,426223,168491
2025-03-07 16:55:00+00:00,239.2050018310547,173.15499877929688,239.27000427246094,173.22000122070312,238.8000030517578,172.7100067138672,238.9199981689453,172.8300018310547,615745,171072
2025-03-07 17:00:00+00:00,239.10000610351562,173.36990356445312,239.69749450683594,173.6199951171875,239.07000732421875,173.12600708007812,239.21060180664062,173.22000122070312,694200,155306
2025-03-07 17:05:00+00:00,238.1199951171875,173.10000610351562,239.33999633789062,173.52000427246094,237.86000061035156,172.9600067138672,239.1300048828125,173.41000366210938,478821,98267
2025-03-07 17:10:00+00:00,238.63999938964844,173.0500030517578,238.75,173.17999267578125,237.92999267578125,172.75999450683594,238.139892578125,173.0800018310547,368621,137620
2025-03-07 17:15:00+00:00,238.77000427246094,172.78500366210938,238.85000610351562,173.125,238.44009399414062,172.60000610351562,238.65499877929688,173.07000732421875,286928,118855
2025-03-07 17:20:00+00:00,239.02000427246094,173.3800048828125,239.3000030517578,173.41000366210938,238.69000244140625,172.75,238.77999877929688,172.77000427246094,469093,144383
2025-03-07 17:25:00+00:00,239.2899932861328,173.5800018310547,239.47569274902344,173.59500122070312,238.89999389648438,173.260498046875,239.00999450683594,173.3699951171875,334609,86335
2025-03-07 17:30:00+00:00,239.58999633789062,174.0594940185547,239.74000549316406,174.16000366210938,238.8000030517578,173.30999755859375,239.25999450683594,173.5800018310547,511686,134631
2025-03-07 17:35:00+00:00,239.22999572753906,174.08999633789062,239.75999450683594,174.36000061035156,239.16000366210938,173.74000549316406,239.61000061035156,174.0500030517578,401951,159855
2025-03-07 17:40:00+00:00,239.5800018310547,174.77349853515625,239.6300048828125,174.77499389648438,239.05999755859375,173.99000549316406,239.2100067138672,173.99000549316406,392679,167740
2025-03-07 17:45:00+00:00,239.78729248046875,174.80999755859375,239.99000549316406,175.06500244140625,239.47000122070312,174.6699981689453,239.5800018310547,174.75999450683594,478501,272006
2025-03-07 17:50:00+00:00,240.7364959716797,175.33999633789062,240.77999877929688,175.35000610351562,239.72999572753906,174.6750030517578,239.75999450683594,174.8000030517578,1015128,166361
2025-03-07 17:55:00+00:00,240.02999877929688,174.14999389648438,240.8300018310547,175.42999267578125,239.701904296875,174.00059509277344,240.75,175.33999633789062,695735,157302
2025-03-07 18:00:00+00:00,241.02999877929688,175.14999389648438,241.07000732421875,175.1739959716797,239.99000549316406,174.1699981689453,240.03500366210938,174.17999267578125,707912,138263
2025-03-07 18:05:00+00:00,240.6699981689453,174.97999572753906,241.3699951171875,175.55999755859375,240.64500427246094,174.97000122070312,241.02000427246094,175.1699981689453,502566,156896
2025-03-07 18:10:00+00:00,240.9600067138672,175.38999938964844,240.96969604492188,175.38999938964844,240.01499938964844,174.61000061035156,240.64999389648438,174.98500061035156,299694,155148
2025-03-07 18:15:00+00:00,241.10000610351562,175.6103973388672,241.14999389648438,175.63999938964844,240.71339416503906,175.2100067138672,240.94000244140625,175.3800048828125,283707,159515
2025-03-07 18:20:00+00:00,240.32000732421875,175.13429260253906,241.19500732421875,175.8800048828125,240.2899932861328,175.05999755859375,241.02999877929688,175.61000061035156,711863,179149
2025-03-07 18:25:00+00:00,240.41439819335938,175.26499938964844,240.55999755859375,175.3726043701172,240.07000732421875,174.9250030517578,240.3000030517578,175.10499572753906,263344,92717
2025-03-07 18:30:00+00:00,240.42039489746094,175.27999877929688,240.72889709472656,175.4499969482422,240.24000549316406,175.05999755859375,240.4250030517578,175.25999450683594,356368,121981
2025-03-07 18:35:00+00:00,240.6199951171875,175.80999755859375,240.91000366210938,175.83999633789062,240.22999572753906,175.25999450683594,240.38999938964844,175.3000030517578,441039,186291
2025-03-07 18:40:00+00:00,240.19000244140625,175.74000549316406,240.83999633789062,175.94000244140625,239.8699951171875,175.33999633789062,240.61500549316406,175.8000030517578,315764,124519
2025-03-07 18:45:00+00:00,239.98500061035156,175.78500366210938,240.27999877929688,175.97000122070312,239.7899932861328,175.610107421875,240.1649932861328,175.69000244140625,364433,93223
2025-03-07 18:50:00+00:00,239.82009887695312,175.89999389648438,240.02980041503906,175.9499969482422,239.6999969482422,175.6750030517578,240.0,175.80999755859375,268034,109480
2025-03-07 18:55:00+00:00,239.42999267578125,176.0,239.85499572753906,176.05999755859375,239.37030029296875,175.66000366210938,239.85499572753906,175.83999633789062,305769,122980
2025-03-07 19:00:00+00:00,239.5749969482422,175.9658966064453,239.91000366210938,176.18499755859375,239.36000061035156,175.86000061035156,239.44500732421875,176.02499389648438,309781,90968
2025-03-07 19:05:00+00:00,238.9199981689453,175.59019470214844,239.5782012939453,176.0155029296875,238.8800048828125,175.58999633789062,239.5749969482422,175.97999572753906,558132,87871
2025-03-07 19:10:00+00:00,238.97999572753906,175.98159790039062,239.05999755859375,176.0500030517578,238.57000732421875,175.6300048828125,238.9199981689453,175.6300048828125,336038,82157
2025-03-07 19:15:00+00:00,239.30499267578125,176.35000610351562,239.3800048828125,176.3874969482422,238.72000122070312,175.94000244140625,238.97999572753906,176.00999450683594,267482,82645
2025-03-07 19:20:00+00:00,239.82000732421875,176.88499450683594,239.8350067138672,176.88999938964844,239.30499267578125,176.36000061035156,239.30499267578125,176.36000061035156,269863,176586
2025-03-07 19:25:00+00:00,239.64999389648438,176.6699981689453,239.8699951171875,176.89999389648438,239.35000610351562,176.42999267578125,239.8249969482422,176.8699951171875,316353,116426
2025-03-07 19:30:00+00:00,239.65060424804688,176.52000427246094,239.77000427246094,176.87840270996094,239.39500427246094,176.47000122070312,239.6649932861328,176.74000549316406,240322,110735
2025-03-07 19:35:00+00:00,239.7371063232422,176.55999755859375,239.86000061035156,176.8300018310547,239.2100067138672,176.25999450683594,239.6300048828125,176.55999755859375,238330,95448
2025-03-07 19:40:00+00:00,239.16000366210938,176.19000244140625,239.82000732421875,176.64999389648438,238.99000549316406,176.0800018310547,239.76499938964844,176.5800018310547,232326,154550
2025-03-07 19:45:00+00:00,238.82000732421875,175.8300018310547,239.19500732421875,176.21029663085938,238.77000427246094,175.77749633789062,239.19500732421875,176.21029663085938,294032,137643
2025-03-07 19:50:00+00:00,239.0800018310547,176.0,239.19479370117188,176.10000610351562,238.69000244140625,175.75,238.83999633789062,175.80999755859375,306647,115150
2025-03-07 19:55:00+00:00,239.22000122070312,175.97999572753906,239.42999267578125,176.16000366210938,239.0,175.89999389648438,239.0800018310547,176.0399932861328,266997,128831
2025-03-07 20:00:00+00:00,238.97000122070312,175.9499969482422,239.2550048828125,176.11000061035156,238.9600067138672,175.8000030517578,239.1999969482422,175.97500610351562,274206,110049
2025-03-07 20:05:00+00:00,239.1699981689453,176.30999755859375,239.2050018310547,176.32000732421875,238.85000610351562,175.94000244140625,238.9600067138672,175.9600067138672,316625,121932
2025-03-07 20:10:00+00:00,238.5800018310547,176.0800018310547,239.22999572753906,176.40499877929688,238.5500030517578,176.02040100097656,239.164306640625,176.3000030517578,262050,160749
2025-03-07 20:15:00+00:00,238.8311004638672,176.02000427246094,238.89999389648438,176.1199951171875,238.0800018310547,175.60000610351562,238.57000732421875,176.07000732421875,347930,141156
2025-03-07 20:20:00+00:00,238.57899475097656,175.61000061035156,238.85000610351562,176.0449981689453,238.33999633789062,175.4600067138672,238.83999633789062,176.0449981689453,244996,143167
2025-03-07 20:25:00+00:00,238.8114013671875,175.73500061035156,238.9600067138672,175.83999633789062,238.5500030517578,175.5500030517578,238.57000732421875,175.58999633789062,240865,346490
2025-03-07 20:30:00+00:00,238.9199981689453,175.69000244140625,239.1300048828125,175.75,238.6699981689453,175.38560485839844,238.8000030517578,175.6999969482422,338201,196881
2025-03-07 20:35:00+00:00,238.32009887695312,174.84210205078125,238.97999572753906,175.72000122070312,238.05999755859375,174.68499755859375,238.9199981689453,175.72000122070312,469865,188972
2025-03-07 20:40:00+00:00,238.57679748535156,175.4199981689453,238.66000366210938,175.4499969482422,237.94000244140625,174.61000061035156,238.3300018310547,174.8300018310547,422019,178850
2025-03-07 20:45:00+00:00,239.32000732421875,175.82000732421875,239.38400268554688,175.8800048828125,238.47000122070312,175.32000732421875,238.5399932861328,175.41000366210938,408429,172375
2025-03-07 20:50:00+00:00,239.27000427246094,176.0800018310547,239.2899932861328,176.17999267578125,238.44500732421875,175.5308074951172,239.2899932861328,175.77999877929688,762779,337046
2025-03-07 20:55:00+00:00,239.07000732421875,175.72000122070312,239.77000427246094,176.41000366210938,238.94000244140625,175.69000244140625,239.2899932861328,176.13999938964844,2410618,647511
