Price,Close,High,Low,Open,Volume
Ticker,SITM,SITM,SITM,SITM,SITM
Date,,,,,
2024-01-02,117.44000244140625,121.0199966430664,115.01000213623047,121.01000213623047,235100
2024-01-03,116.80000305175781,118.27999877929688,112.94000244140625,115.0,187400
2024-01-04,111.55999755859375,116.16000366210938,110.13999938964844,115.8499984741211,195600
2024-01-05,113.2300033569336,119.04000091552734,111.55999755859375,111.55999755859375,250900
2024-01-08,114.72000122070312,115.90799713134766,112.75,112.75,104000
2024-01-09,117.27999877929688,118.08000183105469,113.0,114.5,117600
2024-01-10,116.47000122070312,117.83000183105469,112.41999816894531,116.93000030517578,98900
2024-01-11,116.4800033569336,117.72000122070312,113.52999877929688,115.93000030517578,147600
2024-01-12,116.33999633789062,117.7300033569336,115.44000244140625,117.41000366210938,89300
2024-01-16,117.55000305175781,118.56999969482422,113.87000274658203,114.69000244140625,91600
2024-01-17,114.9000015258789,116.2249984741211,113.2300033569336,114.83999633789062,179100
2024-01-18,117.58000183105469,118.7699966430664,116.44000244140625,117.81999969482422,148000
2024-01-19,121.25,121.47000122070312,116.93000030517578,119.69000244140625,117200
2024-01-22,124.0,125.61499786376953,122.83000183105469,123.0,160600
2024-01-23,125.16999816894531,126.13999938964844,123.18000030517578,125.27999877929688,148800
2024-01-24,123.01000213623047,127.05000305175781,122.88999938964844,126.25,100400
2024-01-25,121.12999725341797,126.0,120.55000305175781,126.0,124700
2024-01-26,116.52999877929688,120.0199966430664,115.51000213623047,119.77999877929688,129000
2024-01-29,119.12000274658203,119.44999694824219,114.55000305175781,116.5999984741211,114100
2024-01-30,110.0,118.3499984741211,109.87000274658203,118.3499984741211,206200
2024-01-31,106.56999969482422,110.66000366210938,105.63999938964844,108.68000030517578,212900
2024-02-01,106.83000183105469,107.58000183105469,103.31999969482422,107.58000183105469,285600
2024-02-02,105.80999755859375,107.81500244140625,105.30999755859375,105.30999755859375,132400
2024-02-05,107.66999816894531,108.75,104.5199966430664,105.80999755859375,180200
2024-02-06,107.58999633789062,109.45999908447266,105.5999984741211,107.5199966430664,167700
2024-02-07,109.11000061035156,110.29000091552734,105.62999725341797,108.7300033569336,144800
2024-02-08,116.37000274658203,117.87999725341797,108.8499984741211,109.83000183105469,244200
2024-02-09,124.95999908447266,126.66000366210938,117.72000122070312,117.72000122070312,228500
2024-02-12,125.8499984741211,129.42999267578125,124.61000061035156,125.43000030517578,415500
2024-02-13,120.61000061035156,125.30500030517578,116.54000091552734,116.63999938964844,364100
2024-02-14,115.54000091552734,120.94999694824219,109.63999938964844,111.11000061035156,424400
2024-02-15,107.5999984741211,117.12000274658203,107.0,115.23999786376953,460000
2024-02-16,103.5199966430664,109.51000213623047,101.5,107.87000274658203,366300
2024-02-20,104.94000244140625,105.5999984741211,101.91999816894531,102.22000122070312,356500
2024-02-21,100.43000030517578,103.47000122070312,99.08000183105469,102.83000183105469,291800
2024-02-22,98.4000015258789,105.98999786376953,97.56500244140625,104.80999755859375,321900
2024-02-23,97.0,98.58499908447266,95.75,98.41999816894531,162700
2024-02-26,95.95999908447266,98.80699920654297,95.8499984741211,97.79000091552734,114700
2024-02-27,93.4000015258789,96.79000091552734,93.25,95.95999908447266,220800
2024-02-28,93.1500015258789,94.5,90.98999786376953,92.0199966430664,153000
2024-02-29,92.5,95.68000030517578,91.79000091552734,95.08999633789062,334100
2024-03-01,94.0,95.12000274658203,91.80000305175781,93.97000122070312,293500
2024-03-04,94.63999938964844,97.11000061035156,93.19499969482422,94.56999969482422,314300
2024-03-05,91.19000244140625,93.63500213623047,89.69000244140625,93.5,202600
2024-03-06,92.91000366210938,96.05000305175781,92.06999969482422,93.52999877929688,183000
2024-03-07,96.23999786376953,96.4000015258789,93.69999694824219,94.18000030517578,204500
