Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,FINV,JBSAY,TKAMY,TME,TNXP,FINV,JBSAY,TKAMY,TME,TNXP,FINV,JBSAY,TKAMY,TME,TNXP,FINV,JBSAY,TKAMY,TME,TNXP,FINV,JBSAY,TKAMY,TME,TNXP
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18 13:30:00+00:00,10.729999542236328,13.0,11.0600004196167,14.90530014038086,15.850000381469727,10.859999656677246,13.0,11.260000228881836,15.329999923706055,16.139999389648438,9.760000228881836,12.5,11.0600004196167,14.0600004196167,15.600000381469727,10.0,12.890000343322754,11.260000228881836,14.1899995803833,16.0,524182,1200.0,24875.0,3817853,48233
2025-03-18 13:35:00+00:00,10.984999656677246,13.0,11.180000305175781,14.460000038146973,15.720000267028809,11.079999923706055,13.069999694824219,11.180000305175781,14.899999618530273,16.045000076293945,10.670000076293945,13.0,11.180000305175781,14.3100004196167,15.699999809265137,10.729999542236328,13.069999694824219,11.180000305175781,14.890000343322754,15.901399612426758,300668,203.0,425.0,1773763,20493
2025-03-18 13:40:00+00:00,10.609999656677246,13.100000381469727,11.140000343322754,14.46500015258789,15.90999984741211,11.069999694824219,13.100000381469727,11.1899995803833,14.65999984741211,15.989999771118164,10.529999732971191,13.100000381469727,11.140000343322754,14.359999656677246,15.699999809265137,10.984999656677246,13.100000381469727,11.1899995803833,14.470000267028809,15.710000038146973,274924,400.0,1594.0,900270,21262
2025-03-18 13:45:00+00:00,10.460000038146973,13.09000015258789,11.100000381469727,14.359999656677246,15.6899995803833,10.76990032196045,13.100000381469727,11.140000343322754,14.479999542236328,15.78499984741211,10.430000305175781,13.039999961853027,11.100000381469727,14.319999694824219,15.510000228881836,10.625,13.09000015258789,11.140000343322754,14.449999809265137,15.78499984741211,137666,2900.0,1100.0,608902,16613
2025-03-18 13:50:00+00:00,10.510000228881836,13.130000114440918,11.220000267028809,14.149999618530273,15.864999771118164,10.579999923706055,13.130000114440918,11.220000267028809,14.414999961853027,15.90999984741211,10.300000190734863,13.130000114440918,11.1899995803833,14.100000381469727,15.722399711608887,10.454999923706055,13.130000114440918,11.1899995803833,14.369999885559082,15.788299560546875,184917,500.0,547.0,1385023,13055
2025-03-18 13:55:00+00:00,10.305000305175781,13.029999732971191,11.239999771118164,14.129899978637695,15.899999618530273,10.539999961853027,13.029999732971191,11.239999771118164,14.354999542236328,16.1387996673584,10.260000228881836,13.029999732971191,11.239999771118164,14.050000190734863,15.899999618530273,10.510000228881836,13.029999732971191,11.239999771118164,14.145000457763672,15.944999694824219,79729,7.0,1000.0,1590919,14314
2025-03-18 14:00:00+00:00,10.30109977722168,13.020000457763672,11.180000305175781,13.994999885559082,16.200000762939453,10.359999656677246,13.0600004196167,11.180000305175781,14.164999961853027,16.249900817871094,10.130000114440918,12.970000267028809,11.180000305175781,13.949999809265137,15.864999771118164,10.289999961853027,12.970000267028809,11.180000305175781,14.109999656677246,15.864999771118164,230902,815.0,4000.0,879146,8355
2025-03-18 14:05:00+00:00,10.430000305175781,13.050000190734863,11.149999618530273,13.960000038146973,16.594999313354492,10.489999771118164,13.050000190734863,11.149999618530273,14.0600004196167,16.729999542236328,10.210000038146973,13.039999961853027,11.149999618530273,13.864999771118164,16.100000381469727,10.279999732971191,13.050000190734863,11.149999618530273,13.994999885559082,16.18000030517578,103458,1641.0,450.0,866618,26492
2025-03-18 14:10:00+00:00,10.260000228881836,13.100000381469727,,13.729999542236328,16.601999282836914,10.4399995803833,13.100000381469727,,13.979999542236328,16.80500030517578,10.199999809265137,13.09000015258789,,13.699999809265137,16.5,10.4399995803833,13.09000015258789,,13.968099594116211,16.600000381469727,78468,500.0,,984620,26157
2025-03-18 14:15:00+00:00,10.239999771118164,,11.199999809265137,13.949999809265137,17.274999618530273,10.35990047454834,,11.199999809265137,13.960000038146973,17.40999984741211,10.199999809265137,,11.199999809265137,13.720000267028809,16.755300521850586,10.289999961853027,,11.199999809265137,13.729999542236328,16.799999237060547,45910,,952.0,986190,82445
2025-03-18 14:20:00+00:00,10.390000343322754,,,14.135000228881836,17.670000076293945,10.40999984741211,,,14.149999618530273,17.920000076293945,10.199999809265137,,,13.90999984741211,17.216299057006836,10.25,,,13.949999809265137,17.360000610351562,72746,,,1358303,60597
