Price,Close,High,Low,Open,Volume
Ticker,GAP,GAP,GAP,GAP,GAP
Date,,,,,
2024-01-02,20.34391212463379,20.34391212463379,19.399269646490996,20.042016381307903,6915700
2024-01-03,19.720640182495117,20.03227469311915,19.457697867598014,19.973843686749195,8257300
2024-01-04,19.59404182434082,19.87645993856827,19.4479615038045,19.808290112978487,5918400
2024-01-05,20.24652862548828,20.538685569850635,19.42848695228743,19.438223907276093,7568200
2024-01-08,21.09378433227539,21.288556861797794,20.275742680262894,20.275742680262894,6948200
2024-01-09,20.752933502197266,21.3372492380017,20.74319468989353,21.035353486540007,5140400
2024-01-10,20.733455657958984,21.054829001832317,20.60685296818227,20.66528397866242,4804800
2024-01-11,20.412084579467773,20.743196801547843,20.10044998397799,20.58737950380295,4041700
2024-01-12,19.71090316772461,20.597114584613045,19.701164356194273,20.58737577308271,5277200
2024-01-16,19.311622619628906,19.506395149754198,19.116850089503615,19.477178712988852,5894700
2024-01-17,18.90260124206543,19.28240562151555,18.90260124206543,19.077896142577316,6429700
2024-01-18,18.04560661315918,19.214236212824527,17.86057289665398,19.11684994848029,13336300
2024-01-19,18.444887161254883,18.620182051663605,17.909263678618423,18.026127558053684,7339300
2024-01-22,18.474102020263672,18.80521418331958,18.24037611531039,18.464363208704572,4812200
2024-01-23,18.474102020263672,18.844169429555983,18.308545938735715,18.668874536468927,5416400
2024-01-24,18.474102020263672,18.82469180643778,18.405932196838346,18.727305548335153,3520400
2024-01-25,18.999988555908203,19.214236858676294,18.62018415543659,18.67861517301179,5957500
2024-01-26,19.223976135253906,19.389532236953954,18.805216474630928,19.05842003355386,4009800
2024-01-29,18.90260124206543,19.185021216776462,18.678614139183995,19.165543592833263,3863700
2024-01-30,18.84416961669922,19.009725699871325,18.688352345182928,18.873384194178275,3973700
2024-01-31,18.20142364501953,18.795476320193977,18.123515006103776,18.746784117429808,5289200
2024-02-01,18.83443260192871,18.951294637970868,18.269594474422092,18.34750311761305,4721400
2024-02-02,19.292142868041992,19.370051500004504,18.532534170779574,18.64939618997919,5242800
2024-02-05,19.447961807250977,19.54534806996523,18.776000495248415,18.951293539147912,6270800
2024-02-06,19.262929916381836,19.535609222500852,19.087635015311918,19.350577366916795,4209400
2024-02-07,19.350576400756836,19.40900741236657,18.951292558539937,19.2726677661144,3570600
2024-02-08,19.51613426208496,19.92515323815774,19.321361728964888,19.428486807929783,7184500
2024-02-09,19.535608291625977,19.7401196189587,19.204496129268893,19.467438468344525,6291200
2024-02-12,20.022539138793945,20.71397994699402,19.603779500480854,19.720643389714844,7525600
2024-02-13,19.253189086914062,19.486914978019925,18.85390712408885,19.23371146494984,5475200
2024-02-14,19.59404182434082,19.74985909925702,19.16554338957705,19.5258701412626,3896500
2024-02-15,19.51613426208496,19.895938658431707,19.36031512109578,19.749860187335923,3842800
2024-02-16,19.243452072143555,19.671950507911763,19.019464971112523,19.282405462219696,3890800
2024-02-20,18.54227638244629,18.990250634013073,18.483843504642117,18.961034195110987,6460000
2024-02-21,18.639659881591797,18.68835394403683,18.279333106941312,18.357241749364814,5385100
2024-02-22,18.590967178344727,19.029204441161266,18.571489553888767,18.85390953603465,4213100
2024-02-23,18.941556930541992,19.07789658633881,18.347502388875576,18.63965932486547,4038100
2024-02-26,18.85390853881836,19.62325608925153,18.659136019537645,19.564825076462675,5791500
2024-02-27,19.185020446777344,19.262929081934793,18.805214225082455,19.038940130554796,5248700
2024-02-28,18.737045288085938,18.951293580534404,18.61044444652286,18.951293580534404,4088100
2024-02-29,18.444887161254883,18.961031163582394,18.23063702520496,18.94155539825014,5934200
2024-03-01,18.561750411987305,18.902601403958737,18.289071104400936,18.503319397145724,5182500
2024-03-04,18.717567443847656,18.980509793411102,18.561750167992674,18.66887524170114,7292800
2024-03-05,19.4771785736084,19.64273466578361,18.454627441489354,18.53253608148425,9857300
2024-03-06,18.561750411987305,19.808290492701392,18.49358058509071,19.710904229639773,9418800
2024-03-07,18.824691772460938,19.331098827689882,18.522796044627224,18.8831227842217,21237500
2024-03-08,20.37312889099121,20.460776343294988,18.970771511619287,20.460776343294988,30941600
2024-03-11,21.074304580688477,21.376202156724993,19.93488967021292,20.227048435007454,15944600
2024-03-12,22.116334915161133,22.50587996445891,21.054830414038907,21.220386502743924,14223100
2024-03-13,22.320846557617188,22.69091213053433,22.028689624129367,22.31110774550246,10890800
2024-03-14,22.398754119873047,22.408492931519426,21.687837587082985,22.320845484190414,9549200
2024-03-15,22.973331451416016,23.255749564700366,22.301368294653564,22.301368294653564,15416900
2024-03-18,24.04457664489746,24.151699860287632,22.983070300428288,23.080456561455343,13198500
2024-03-19,24.73601531982422,24.765231755084603,23.469999511688936,23.762156434339104,10936400
2024-03-20,26.28445053100586,26.303928154093846,24.57045870651882,24.65810615292639,11091800
2024-03-21,27.735502243041992,27.842627321138192,26.274713828952848,26.45000873584171,12952400
2024-03-22,27.345956802368164,27.80366979934307,27.034322263364963,27.638113718311573,8843400
2024-03-25,27.180402755737305,27.628378832200827,26.85902938115003,27.41412867748364,9695600
2024-03-26,26.99536895751953,27.59916231335176,26.907721504939232,27.521253673001326,8087300
2024-03-27,26.576610565185547,27.083015787069524,26.411054476063345,27.083015787069524,7485200
2024-03-28,26.829811096191406,27.04406123614989,26.50843774374206,26.547392990093925,5557200
2024-04-01,26.537654876708984,27.13170939678574,26.5181772530206,26.732427398615982,6340800
2024-04-02,25.914386749267578,26.060465217425296,25.35928745577515,26.01177115638039,7434400
2024-04-03,25.203466415405273,25.894907170140684,25.18399064994596,25.778043289943025,8815200
2024-04-04,24.04457664489746,25.515103799689516,24.015360209342816,25.42745635051401,7896000
2024-04-05,23.616077423095703,24.288040558530014,23.51869116531722,24.015359408247942,6915000
2024-04-08,22.8662052154541,23.830325248289693,22.856466404113743,23.674507981820607,6736900
2024-04-09,22.679983139038086,23.307261402120034,22.611375017161414,23.111236594388593,7383000
2024-04-10,22.670181274414062,22.856404651223684,22.199723988250778,22.37614593791978,8080500
2024-04-11,22.925012588500977,23.258253630893616,22.219326664897714,22.376145759031772,7511800
2024-04-12,22.05270767211914,22.92501417737609,21.925292850341066,22.67018266438875,7021000
2024-04-15,21.445030212402344,22.425150460800516,21.327416829475933,22.385946622968717,7613100
2024-04-16,20.562923431396484,21.190201694184395,19.935647038039683,21.160797412209128,11709300
2024-04-17,20.77855110168457,21.013779749283916,20.26888809717043,20.79815208691118,6729200
2024-04-18,20.61193084716797,21.268611531393418,20.494315587105156,20.856960925320283,5648300
2024-04-19,20.34729766845703,20.64133301091761,20.151272860529236,20.533521049045326,5390800
2024-04-22,20.337495803833008,20.807953089426892,20.063061452521037,20.670736848486445,5771200
2024-04-23,20.49431610107422,20.807954309865814,20.259087444480524,20.49431610107422,5767400
2024-04-24,19.710220336914062,20.70994164779581,19.63181078567959,20.55312254532686,7274100
2024-04-25,19.81803321838379,19.925847057356076,19.259364906311482,19.602407409870462,5921000
2024-04-26,20.925569534301758,20.935370961987324,19.661213404331416,19.7886300948126,8786200
2024-04-29,20.827558517456055,21.092191474341362,20.513920288302195,20.729546103487646,9583200
2024-04-30,20.112070083618164,20.984376599196942,20.03366053018896,20.67073838548013,7822800
2024-05-01,19.435787200927734,20.11207079145051,19.41618434452272,19.935648822667936,8462700
2024-05-02,20.3767032623291,20.435509960720974,19.553402007117953,19.808231656626475,7040700
2024-05-03,21.160799026489258,21.22940715356763,20.49431687298861,20.523721157207024,5546300
2024-05-06,21.768470764160156,21.86648316713907,21.180400085148875,21.327417754901695,6301700
2024-05-07,21.670461654663086,22.679984424221608,21.62145451523763,22.581973884233136,7446800
2024-05-08,21.964494705200195,22.003700412620358,21.543042697588575,21.543042697588575,5157700
2024-05-09,22.630977630615234,22.64077905784045,21.807676438007867,21.807676438007867,4950500
2024-05-10,22.307537078857422,23.248451620034256,22.297735652041286,22.807398629894244,5802700
2024-05-13,21.81747817993164,22.62117652968124,21.592050958793315,22.513362698079813,6206900
2024-05-14,21.09218978881836,22.30753876438402,21.08238836126164,22.062508683759543,7704500
2024-05-15,21.503841400146484,21.70966578012615,21.160798897415795,21.278412294709536,5508700
2024-05-16,21.32741928100586,21.552846515386253,21.043183478971354,21.347022136890562,4738300
2024-05-17,21.17060089111328,21.513643403010164,21.13139517801362,21.425432417967215,3786300
2024-05-20,20.798152923583984,21.21960496852375,20.788351495860827,21.170599699339157,4512100
2024-05-21,21.062788009643555,21.200004272884637,20.758951196996282,21.160800427429205,7121500
2024-05-22,20.14147186279297,21.06278548861479,20.063062311835655,20.925569241797277,6690200
2024-05-23,20.445310592651367,20.876562189975918,20.200280511222395,20.308092475837952,6513300
2024-05-24,20.562923431396484,21.01377974119502,20.543320576746307,20.651134407891174,6042000
2024-05-28,19.945449829101562,20.71974394641354,19.857238846575594,20.582527693342584,8827400
2024-05-29,21.2196044921875,21.356822607800233,20.053260791350578,20.053260791350578,12444400
2024-05-30,22.072309494018555,22.268332431377257,21.249008296591143,21.27841070900784,24667600
2024-05-31,28.3842830657959,28.501898324656874,24.424598015420237,26.55145914682651,53671500
2024-06-03,28.45289421081543,29.981881421408435,28.27647225008716,28.550904749503406,21810700
2024-06-04,26.326032638549805,28.335278565486206,26.24762308699695,28.276471869179357,13156800
2024-06-05,26.07120132446289,26.492653368261653,25.70855597741267,26.463249085171793,14809700
2024-06-06,25.247900009155273,26.424043287410704,25.247900009155273,26.228020342417057,7543300
2024-06-07,24.963665008544922,25.571340457029294,24.94406402202445,25.247900811551016,6111100
2024-06-10,25.56153678894043,25.679152044912115,24.591217937540545,24.748037032548744,6861800
2024-06-11,26.286827087402344,26.29662851508476,24.846050867848287,25.169490503643328,7193800
2024-06-12,25.924182891845703,26.69847696298605,25.7575623647247,26.551459290686605,9433400
2024-06-13,25.336111068725586,26.10060373464842,24.924460452678222,25.924183644426275,7902100
2024-06-14,24.493207931518555,25.21849678423079,23.95414247337999,25.091081958110653,7755000
2024-06-17,25.483129501342773,25.82617200313171,24.473604851948178,24.51281056389262,6878400
2024-06-18,25.31650733947754,25.532133133038126,25.07147726384596,25.36551260683141,4277300
2024-06-20,24.699031829833984,25.45372302546269,24.483404171570573,25.208692955204143,4590100
2024-06-21,24.208972930908203,24.846050772367644,23.826724730487598,24.71863408241705,8139600
2024-06-24,24.306982040405273,24.65982593716128,24.003145278993752,24.31678346747417,4767600
2024-06-25,24.13056182861328,25.257699763296248,24.07175326652366,25.159687362577934,5890200
2024-06-26,23.96394157409668,24.395193150952224,23.758115343361517,24.06195210647135,4642800
2024-06-27,23.552291870117188,23.66010383368068,23.01322457457514,23.307261791079295,3939100
2024-06-28,23.415075302124023,23.64050441050496,23.160243778751294,23.26805761887125,5119200
2024-07-01,22.807401657104492,23.58169578404056,22.70938924536503,23.53269051288646,5234600
2024-07-02,22.542766571044922,22.817200924035443,22.405550329265207,22.444754168588943,5320300
